Title,Year,Genre,Director,Plot,IMDB Rating
Inception,2010,"Action, Adventure, Sci-Fi",Christopher Nolan,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8
The Dark Knight,2008,"Action, Crime, Drama",Christopher Nolan,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",9.0
Interstellar,2014,"Adventure, Drama, Sci-Fi",Christopher Nolan,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8.7
The Matrix,1999,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",8.7
Titanic,1997,"Drama, Romance",James Cameron,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",7.9
Avatar,2009,"Action, Adventure, Fantasy",James Cameron,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,7.9
The Godfather,1972,"Crime, Drama",Francis Ford Coppola,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,9.2
Pulp Fiction,1994,"Crime, Drama",Quentin Tarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9
The Shawshank Redemption,1994,Drama,Frank Darabont,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",9.3
The Lion King,1994,"Animation, Adventure, Drama","Roger Allers, Rob Minkoff","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5
The Godfather Part II,1974,"Crime, Drama",Francis Ford Coppola,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",9.0
The Dark Knight Rises,2012,"Action, Drama, Thriller",Christopher Nolan,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",8.4
Forrest Gump,1994,"Drama, Romance",Robert Zemeckis,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",8.8
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",Irvin Kershner,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",8.7
The Silence of the Lambs,1991,"Crime, Drama, Thriller",Jonathan Demme,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6
Schindler's List,1993,"Biography, Drama, History",Steven Spielberg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",9.0
Fight Club,1999,Drama,David Fincher,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,8.8
